name,department,email,salary,dob
Ethan Snyder,Design,ethan.snyder1@example.com,25638,1965-11-12
Amelia Chandler,Marketing,amelia.chandler2@example.com,72726,2001-08-17
Jacob Hicks,Marketing,jacob.hicks3@example.com,87857,1996-01-18
Gabriella Mendoza,HR,gabriella.mendoza4@example.com,97878,1965-05-20
Delilah Sanchez,Product,delilah.sanchez5@example.com,83990,1977-06-02
Luna Allen,Support,luna.allen6@example.com,42462,1980-05-08
Amelia Cruz,Support,amelia.cruz7@example.com,92610,1992-07-06
Elena Benson,Design,elena.benson8@example.com,87379,1994-11-15
James Higgins,Engineering,james.higgins9@example.com,58376,1994-02-19
Aria Butler,Sales,aria.butler10@example.com,72003,1979-07-17
Hazel Brown,HR,hazel.brown11@example.com,30693,1999-05-01
Noah Hammond,Engineering,noah.hammond12@example.com,28770,1994-12-05
Logan Hughes,Support,logan.hughes13@example.com,91346,1994-10-08
Jose Ortiz,Support,jose.ortiz14@example.com,69578,1967-01-03
Nolan Scott,Operations,nolan.scott15@example.com,53150,1993-12-28
Madelyn Jimenez,Design,madelyn.jimenez16@example.com,81007,1999-06-26
Lucy Russell,Product,lucy.russell17@example.com,79080,1971-08-30
Logan Ramirez,Support,logan.ramirez18@example.com,85652,2002-10-02
Silas Perry,Sales,silas.perry19@example.com,95581,1980-04-15
Evelyn Sanchez,Support,evelyn.sanchez20@example.com,83959,1991-04-05
Isabella Turner,Design,isabella.turner21@example.com,44932,1970-09-30
Jaxon Thomas,HR,jaxon.thomas22@example.com,78347,1974-08-08
Hannah Nelson,Engineering,hannah.nelson23@example.com,66902,1972-09-26
Madison Brooks,HR,madison.brooks24@example.com,52912,1971-07-08
Oliver Taylor,Support,oliver.taylor25@example.com,56772,1983-10-07
Elizabeth Bowers,Sales,elizabeth.bowers26@example.com,24499,1976-07-27
Harper Barrett,Marketing,harper.barrett27@example.com,78072,1996-01-21
Zoe Owen,Legal,zoe.owen28@example.com,75203,1991-04-15
William Rodriguez,Sales,william.rodriguez29@example.com,40769,1997-10-25
Adrian Cruz,Legal,adrian.cruz30@example.com,45503,1996-08-31
